~~~Start of file~~~
Timestamp: 2020-04-18 08:20:01.912484

Timestamp: 2020-04-18 08:25:01.696804

Timestamp: 2020-04-18 08:30:01.646326

Timestamp: 2020-04-18 08:35:01.479670

Timestamp: 2020-04-18 08:40:01.696507

Timestamp: 2020-04-18 08:45:01.455459

Timestamp: 2020-04-18 08:50:01.179849

Timestamp: 2020-04-18 08:55:01.135827

Timestamp: 2020-04-18 09:00:02.036076

Timestamp: 2020-04-18 09:05:01.930233

Timestamp: 2020-04-18 09:10:01.686965

Timestamp: 2020-04-18 09:15:01.429199

Timestamp: 2020-04-18 09:20:01.220379

Timestamp: 2020-04-18 09:25:01.992140

Timestamp: 2020-04-18 09:30:01.772494

Timestamp: 2020-04-18 09:35:02.113050

Timestamp: 2020-04-18 09:40:01.915723

Timestamp: 2020-04-18 09:45:01.699157

Timestamp: 2020-04-18 09:50:01.508501

Timestamp: 2020-04-18 09:55:01.416404

Timestamp: 2020-04-18 10:00:01.134220

Timestamp: 2020-04-18 10:05:02.003840

Timestamp: 2020-04-18 10:10:01.702378

Timestamp: 2020-04-18 10:15:01.520485

Timestamp: 2020-04-18 10:20:01.545554

Timestamp: 2020-04-18 10:25:01.378642

Timestamp: 2020-04-18 10:30:01.180661

Timestamp: 2020-04-18 10:35:02.008667

Timestamp: 2020-04-18 10:40:02.067638

Timestamp: 2020-04-18 10:45:01.218415

Timestamp: 2020-04-18 10:50:02.035413

Timestamp: 2020-04-18 10:55:01.863356

Timestamp: 2020-04-18 11:00:01.907257

Timestamp: 2020-04-18 11:05:01.789980

Timestamp: 2020-04-18 11:10:01.550128

Timestamp: 2020-04-18 11:15:01.274541

Timestamp: 2020-04-18 11:20:02.024881

Timestamp: 2020-04-18 11:25:01.958531

Timestamp: 2020-04-18 11:30:01.270448

Timestamp: 2020-04-18 11:35:02.054185

Timestamp: 2020-04-18 11:40:01.934298

Timestamp: 2020-04-18 11:45:01.705871

Timestamp: 2020-04-18 11:50:02.070932

Timestamp: 2020-04-18 11:55:01.837403

Timestamp: 2020-04-18 12:00:01.579961

Timestamp: 2020-04-18 12:05:01.379180

Timestamp: 2020-04-18 12:10:01.205259

Timestamp: 2020-04-18 12:15:02.072648

Timestamp: 2020-04-18 12:20:01.879811

Timestamp: 2020-04-18 12:25:01.305082

Timestamp: 2020-04-18 12:30:02.081645

Timestamp: 2020-04-18 12:35:01.935841

Timestamp: 2020-04-18 12:40:01.297083

Timestamp: 2020-04-18 12:45:02.069847

Timestamp: 2020-04-18 12:50:01.814750

Timestamp: 2020-04-18 12:55:01.714424

Timestamp: 2020-04-18 13:00:01.590940

Timestamp: 2020-04-18 13:05:01.407788

Timestamp: 2020-04-18 13:10:01.217768

Timestamp: 2020-04-18 13:15:01.960319

Timestamp: 2020-04-18 13:20:01.819830

Timestamp: 2020-04-18 13:25:01.644583

Timestamp: 2020-04-18 13:30:01.338322

Timestamp: 2020-04-18 13:35:01.153320

Timestamp: 2020-04-18 13:40:01.903491

Timestamp: 2020-04-18 13:45:01.679110

Timestamp: 2020-04-18 13:50:01.563191

Timestamp: 2020-04-18 13:55:01.331240

Timestamp: 2020-04-18 14:00:02.105682

Timestamp: 2020-04-18 14:05:01.126699

Timestamp: 2020-04-18 14:10:01.854157

Timestamp: 2020-04-18 14:15:01.633186

Timestamp: 2020-04-18 14:20:01.416001

Timestamp: 2020-04-18 14:25:01.469198

Timestamp: 2020-04-18 14:30:01.177219

Timestamp: 2020-04-18 14:35:01.969377

Timestamp: 2020-04-18 14:40:01.762532

Timestamp: 2020-04-18 14:45:01.688300

Timestamp: 2020-04-18 14:50:01.596392

Timestamp: 2020-04-18 14:55:01.481540

Timestamp: 2020-04-18 15:00:01.225426

Timestamp: 2020-04-18 15:05:01.955351

Timestamp: 2020-04-18 15:10:01.700623

Timestamp: 2020-04-18 15:15:01.967919

Timestamp: 2020-04-18 15:20:01.810125

Timestamp: 2020-04-18 15:25:01.602197

Timestamp: 2020-04-18 15:30:01.420380

Timestamp: 2020-04-18 15:35:01.654205

Timestamp: 2020-04-18 15:40:01.396252

Timestamp: 2020-04-18 15:45:01.142756

Timestamp: 2020-04-18 15:50:01.856114

Timestamp: 2020-04-18 15:55:01.573004

Timestamp: 2020-04-18 16:00:01.299182

Timestamp: 2020-04-18 16:05:02.122062

Timestamp: 2020-04-18 16:10:01.918509

Timestamp: 2020-04-18 16:15:01.808122

Timestamp: 2020-04-18 16:20:01.690330

Timestamp: 2020-04-18 16:25:01.634690

